match_id,innings_no,over_id,ball_id,runs_scored,extra_runs,out_type,striker,non_striker,bowler
829720,2,16,6,1,0,,310,394,386
829720,2,17,1,0,0,,310,394,136
829720,2,17,2,2,0,,310,394,136
829720,2,17,3,1,0,,310,394,136
829720,2,17,4,2,0,,394,310,136
829720,2,17,5,0,1,,394,310,136
829720,2,17,6,1,0,,394,310,136
829720,2,17,7,1,0,,310,394,136
829720,2,18,1,4,0,,310,394,371
829720,2,18,2,1,0,,310,394,371
829720,2,18,3,4,0,,394,310,371
829720,2,18,4,0,1,,394,310,371
829720,2,18,5,2,0,,394,310,371
829720,2,18,6,1,0,,394,310,371
829720,2,18,7,4,0,,310,394,371
829720,2,1,1,0,0,,85,351,346
829720,2,1,2,0,0,,85,351,346
829720,2,1,3,0,0,,85,351,346
829720,2,1,4,0,0,,85,351,346
829720,2,1,5,0,0,,85,351,346
829720,2,1,6,2,0,,85,351,346
829720,2,2,1,4,0,,351,85,371
829720,2,2,2,0,0,,351,85,371
829720,2,2,3,2,0,,351,85,371
829720,2,2,4,0,0,,351,85,371
829720,2,2,5,2,0,,351,85,371
829720,2,2,6,0,0,,351,85,371
829720,2,3,1,6,0,,85,351,346
829720,2,3,2,4,0,,85,351,346
829720,2,3,3,0,0,,85,351,346
829720,2,3,4,1,0,,85,351,346
829720,2,3,5,1,0,,351,85,346
829720,2,3,6,1,0,,85,351,346
829720,2,4,1,0,0,,85,351,371
829720,2,4,2,6,0,,85,351,371
829720,2,4,3,0,0,,85,351,371
829720,2,4,4,4,0,,85,351,371
829720,2,4,5,1,0,,85,351,371
829720,2,4,6,1,0,,351,85,371
829720,2,5,1,0,0,,351,85,191
829720,2,5,2,0,0,,351,85,191
829720,2,5,3,1,0,,351,85,191
829720,2,5,4,0,0,,85,351,191
829720,2,5,5,1,0,,85,351,191
829720,2,5,6,0,0,caught,351,85,191
829720,2,6,1,0,0,,85,306,371
829720,2,6,2,1,0,,85,306,371
829720,2,6,3,0,0,,306,85,371
829720,2,6,4,0,0,,306,85,371
829720,2,6,5,0,0,,306,85,371
829720,2,6,6,4,0,,306,85,371
829720,2,7,1,0,0,,85,306,191
829720,2,7,2,1,0,,85,306,191
829720,2,7,3,1,0,,306,85,191
829720,2,7,4,1,0,,85,306,191
829720,2,7,5,4,0,,306,85,191
829720,2,7,6,1,0,,306,85,191
829720,2,8,1,0,0,,306,85,136
829720,2,8,2,0,0,caught,306,85,136
829720,2,8,3,0,0,,339,85,136
829720,2,8,4,4,0,,339,85,136
829720,2,8,5,1,0,,339,85,136
829720,2,8,6,2,0,,85,339,136
829720,2,9,1,2,0,,339,85,386
829720,2,9,2,2,0,,339,85,386
829720,2,9,3,0,0,,339,85,386
829720,2,9,4,1,0,,339,85,386
829720,2,9,5,0,0,,85,339,386
829720,2,9,6,0,1,,85,339,386
829720,2,10,1,1,0,,85,339,136
829720,2,10,2,4,0,,339,85,136
829720,2,10,3,0,0,,339,85,136
829720,2,10,4,2,0,,339,85,136
829720,2,10,5,4,0,,339,85,136
829720,2,10,6,0,0,stumped,339,85,136
829720,2,11,1,1,0,,85,255,386
829720,2,11,2,1,0,,255,85,386
829720,2,11,3,0,1,,85,255,386
829720,2,11,4,1,0,,85,255,386
829720,2,11,5,0,0,lbw,255,85,386
829720,2,11,6,1,0,,394,85,386
829720,2,11,7,0,0,,85,394,386
829720,2,12,1,0,1,,394,85,136
829720,2,12,2,0,0,,394,85,136
829720,2,12,3,1,0,,394,85,136
829720,2,12,4,1,0,,85,394,136
829720,2,12,5,2,0,,394,85,136
829720,2,12,6,0,0,,394,85,136
829720,2,12,7,1,0,,394,85,136
829720,2,13,1,2,0,,394,85,191
829720,2,13,2,1,0,,394,85,191
829720,2,13,3,0,1,,85,394,191
829720,2,13,4,1,0,,85,394,191
829720,2,13,5,6,0,,394,85,191
829720,2,13,6,4,0,,394,85,191
829720,2,13,7,4,0,,394,85,191
829720,2,14,1,1,0,,85,394,27
829720,2,14,2,1,0,,394,85,27
829720,2,14,3,1,0,,85,394,27
829720,2,14,4,1,0,,394,85,27
829720,2,14,5,6,0,,85,394,27
829720,2,14,6,1,0,,85,394,27
829726,2,20,1,1,0,,310,306,388
829726,2,1,1,0,0,,85,351,81
829726,2,1,2,0,0,,85,351,81
829726,2,1,3,0,0,,85,351,81
829726,2,1,4,1,0,,85,351,81
829726,2,1,5,0,0,,351,85,81
829726,2,1,6,0,0,,351,85,81
829726,2,2,1,1,0,,85,351,453
829726,2,2,2,4,0,,351,85,453
829726,2,2,3,0,1,,351,85,453
829726,2,2,4,4,0,,351,85,453
829726,2,2,5,0,0,,351,85,453
829726,2,2,6,1,0,,351,85,453
829726,2,2,7,0,0,,85,351,453
829726,2,19,1,1,0,,310,306,194
829726,2,19,2,4,0,,306,310,194
829726,2,19,3,2,0,,306,310,194
829726,2,19,4,0,0,,306,310,194
829726,2,19,5,0,0,,306,310,194
829726,2,19,6,4,0,,306,310,194
829726,2,3,1,0,0,,351,85,81
829726,2,3,2,0,0,,351,85,81
829726,2,3,3,1,0,,351,85,81
829726,2,3,4,1,0,,85,351,81
829726,2,3,5,1,0,,351,85,81
829726,2,3,6,0,0,,85,351,81
829726,2,4,1,1,0,,351,85,453
829726,2,4,2,0,0,,85,351,453
829726,2,4,3,1,0,,85,351,453
829726,2,4,4,1,0,,351,85,453
829726,2,4,5,4,0,,85,351,453
829726,2,4,6,2,0,,85,351,453
829726,2,5,1,0,0,,351,85,81
829726,2,5,2,4,0,,351,85,81
829726,2,5,3,0,0,caught,351,85,81
829726,2,5,4,1,0,,306,85,81
829726,2,5,5,4,0,,85,306,81
829726,2,5,6,0,0,,85,306,81
829726,2,6,1,1,0,,306,85,194
829726,2,6,2,1,0,,85,306,194
829726,2,6,3,0,0,,306,85,194
829726,2,6,4,4,0,,306,85,194
829726,2,6,5,1,0,,306,85,194
