playermatch_key,match_id,player_id,role_desc,team_id
50120300009,501203,9,Player,1
50120300031,501203,31,Player,1
50120300040,501203,40,Captain,1
50120300063,501203,63,Player,1
50120300087,501203,87,Player,1
50120300089,501203,89,Player,1
50120300140,501203,140,Player,1
50120300151,501203,151,Player,1
50120300214,501203,214,Keeper,1
50120300216,501203,216,Player,1
50120300222,501203,222,Player,1
50120300020,501203,20,CaptainKeeper,3
50120300021,501203,21,Player,3
50120300023,501203,23,Player,3
50120300058,501203,58,Player,3
50120300109,501203,109,Player,3
50120300125,501203,125,Player,3
50120300185,501203,185,Player,3
50120300186,501203,186,Player,3
50120300201,501203,201,Player,3
50120300278,501203,278,Player,3
50120300377,501203,377,Player,3
50120400006,501204,6,Player,5
50120400022,501204,22,Player,5
50120400038,501204,38,Captain,5
50120400039,501204,39,Player,5
50120400052,501204,52,Player,5
50120400169,501204,169,Player,5
50120400192,501204,192,Player,5
50120400196,501204,196,Player,5
50120400252,501204,252,Keeper,5
50120400255,501204,255,Player,5
50120400266,501204,266,Player,5
50120400026,501204,26,CaptainKeeper,8
50120400042,501204,42,Player,8
50120400084,501204,84,Player,8
50120400093,501204,93,Player,8
50120400094,501204,94,Player,8
50120400112,501204,112,Player,8
50120400131,501204,131,Player,8
50120400136,501204,136,Player,8
50120400154,501204,154,Player,8
50120400257,501204,257,Player,8
50120400258,501204,258,Player,8
50120500008,501205,8,Player,2
50120500015,501205,15,Player,2
50120500079,501205,79,Player,2
50120500110,501205,110,Keeper,2
50120500135,501205,135,Player,2
50120500175,501205,175,Captain,2
50120500203,501205,203,Player,2
50120500223,501205,223,Player,2
50120500244,501205,244,Player,2
50120500260,501205,260,Player,2
50120500261,501205,261,Player,2
50120500002,501205,2,Player,9
50120500017,501205,17,Keeper,9
50120500035,501205,35,Player,9
50120500055,501205,55,Player,9
50120500061,501205,61,Player,9
50120500064,501205,64,Captain,9
50120500077,501205,77,Player,9
50120500081,501205,81,Player,9
50120500104,501205,104,Player,9
50120500121,501205,121,Player,9
50120500259,501205,259,Player,9
50120600050,501206,50,Player,7
50120600057,501206,57,Player,7
50120600126,501206,126,Player,7
50120600133,501206,133,Captain,7
50120600194,501206,194,Player,7
50120600208,501206,208,Player,7
50120600209,501206,209,Player,7
50120600221,501206,221,Player,7
50120600263,501206,263,Keeper,7
50120600275,501206,275,Player,7
50120600286,501206,286,Player,7
50120600029,501206,29,Player,6
50120600041,501206,41,Captain,6
50120600054,501206,54,Player,6
50120600106,501206,106,Player,6
50120600177,501206,177,Player,6
50120600183,501206,183,Keeper,6
50120600187,501206,187,Player,6
50120600190,501206,190,Player,6
50120600232,501206,232,Player,6
50120600254,501206,254,Player,6
50120600262,501206,262,Player,6
50120700014,501207,14,Player,4
50120700048,501207,48,Player,4
50120700053,501207,53,CaptainKeeper,4
50120700067,501207,67,Player,4
50120700088,501207,88,Player,4
50120700100,501207,100,Player,4
50120700167,501207,167,Player,4
50120700210,501207,210,Player,4
50120700264,501207,264,Player,4
50120700265,501207,265,Player,4
50120700302,501207,302,Player,4
50120700027,501207,27,Captain,10
50120700046,501207,46,Keeper,10
50120700074,501207,74,Player,10
50120700083,501207,83,Player,10
50120700157,501207,157,Player,10
50120700171,501207,171,Player,10
50120700231,501207,231,Player,10
50120700235,501207,235,Player,10
50120700267,501207,267,Player,10
50120700273,501207,273,Player,10
50120700274,501207,274,Player,10
50120800026,501208,26,CaptainKeeper,8
50120800042,501208,42,Player,8
50120800084,501208,84,Player,8
50120800093,501208,93,Player,8
50120800094,501208,94,Player,8
50120800112,501208,112,Player,8
50120800131,501208,131,Player,8
50120800136,501208,136,Player,8
50120800154,501208,154,Player,8
50120800257,501208,257,Player,8
50120800258,501208,258,Player,8
50120800009,501208,9,Player,1
50120800031,501208,31,Player,1
50120800040,501208,40,Captain,1
50120800087,501208,87,Player,1
50120800089,501208,89,Player,1
50120800140,501208,140,Player,1
50120800151,501208,151,Player,1
50120800214,501208,214,Keeper,1
50120800216,501208,216,Player,1
50120800284,501208,284,Player,1
50120800346,501208,346,Player,1
50120900006,501209,6,Player,5
50120900038,501209,38,Captain,5
50120900039,501209,39,Player,5
50120900052,501209,52,Player,5
50120900085,501209,85,Player,5
50120900169,501209,169,Player,5
50120900192,501209,192,Player,5
50120900196,501209,196,Player,5
50120900238,501209,238,Player,5
50120900252,501209,252,Keeper,5
50120900266,501209,266,Player,5
50120900029,501209,29,Player,6
50120900041,501209,41,Captain,6
50120900054,501209,54,Player,6
50120900106,501209,106,Player,6
50120900177,501209,177,Player,6
50120900183,501209,183,Keeper,6
50120900187,501209,187,Player,6
50120900190,501209,190,Player,6
50120900254,501209,254,Player,6
50120900262,501209,262,Player,6
50120900293,501209,293,Player,6
50121000008,501210,8,Player,2
50121000015,501210,15,Player,2
50121000079,501210,79,Player,2
50121000110,501210,110,Keeper,2
50121000135,501210,135,Player,2
50121000175,501210,175,Captain,2
50121000203,501210,203,Player,2
50121000223,501210,223,Player,2
50121000244,501210,244,Player,2
50121000260,501210,260,Player,2
50121000261,501210,261,Player,2
50121000050,501210,50,Player,7
50121000057,501210,57,Player,7
50121000126,501210,126,Player,7
50121000133,501210,133,Captain,7
50121000194,501210,194,Player,7
50121000208,501210,208,Player,7
50121000209,501210,209,Player,7
50121000221,501210,221,Player,7
50121000263,501210,263,Keeper,7
50121000275,501210,275,Player,7
50121000286,501210,286,Player,7
50121100014,501211,14,Player,4
50121100048,501211,48,Player,4
50121100053,501211,53,CaptainKeeper,4
50121100067,501211,67,Player,4
50121100088,501211,88,Player,4
50121100100,501211,100,Player,4
50121100167,501211,167,Player,4
50121100188,501211,188,Player,4
50121100210,501211,210,Player,4
50121100264,501211,264,Player,4
50121100302,501211,302,Player,4
50121100020,501211,20,CaptainKeeper,3
50121100021,501211,21,Player,3
50121100023,501211,23,Player,3
50121100058,501211,58,Player,3
50121100109,501211,109,Player,3
50121100125,501211,125,Player,3
50121100185,501211,185,Player,3
50121100186,501211,186,Player,3
50121100201,501211,201,Player,3
50121100278,501211,278,Player,3
50121100377,501211,377,Player,3
50121200002,501212,2,Player,9
50121200017,501212,17,Keeper,9
50121200035,501212,35,Player,9
50121200055,501212,55,Player,9
50121200061,501212,61,Player,9
50121200064,501212,64,Captain,9
50121200077,501212,77,Player,9
50121200081,501212,81,Player,9
50121200104,501212,104,Player,9
