0,4
1000,168
2000,257
3000,420
4000,656
5000,1009
6000,1442
7000,2036
8000,2425
9000,2966
10000,3433
11000,3932
12000,4480
13000,5094
14000,5721
15000,6421
16000,7625
17000,9033
18000,10580
19000,11952
20000,13369
21000,14982
22000,16568
23000,18193
24000,19620
25000,21108
26000,22592
27000,24156
28000,25753
29000,27452
30000,29162
31000,30854
32000,32432
33000,34044
34000,35702
35000,37408
36000,39178
37000,40925
38000,42531
39000,44181
40000,45875
41000,47622
42000,49424
43000,51107
44000,52759
45000,54453
46000,56239
47000,58021
48000,59658
49000,61482
50000,63160
51000,64858
52000,66587
53000,68302
54000,69992
55000,71685
56000,73416
57000,75216
58000,76946
59000,78596
60000,80277
61000,81979
62000,83715
63000,85359
64000,87040
65000,88749
66000,90498
67000,92272
68000,94003
69000,95691
70000,97401
71000,99141
72000,100900
73000,102668
74000,104461
75000,106238
76000,108037
77000,109863
78000,111754
79000,113594
80000,115460
81000,117324
82000,119292
83000,121216
84000,123130
85000,125077
86000,127045
87000,129041
88000,131046
89000,133077
90000,135113
91000,137159
92000,139256
93000,141371
94000,143511
95000,145650
96000,147843
97000,150063
98000,152267
99000,154562
