ImageID,LabelID
101,1
102,3
103,3
104,6
105,5
106,3
107,3
108,1
109,1
110,3
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,1
122,1
123,1
124,3
125,6
126,1
127,7
128,3
129,6
130,7
131,8
132,8
133,8
134,8
135,8
136,2
137,8
138,8
139,8
140,2
141,6
142,3
143,5
144,6
145,6
146,6
147,3
148,3
149,1
150,3
151,3
152,6
153,3
154,3
155,3
156,3
157,4
158,5
159,1
160,3
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,6
171,1
172,7
173,2
174,4
175,7
176,6
177,1
178,1
179,7
180,1
181,3
182,1
183,3
184,3
185,3
186,3
187,3
188,4
189,4
190,3
191,1
192,1
193,1
194,6
195,1
196,3
197,1
198,6
199,1
200,1
