ImageID,LabelID
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,7
126,7
127,9
128,8
129,8
130,7
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,5
141,3
142,3
143,6
144,8
145,6
146,3
147,6
148,6
149,8
150,3
151,9
152,9
153,9
154,9
155,8
156,8
157,8
158,8
159,8
160,9
161,9
162,5
163,5
164,9
165,5
166,5
167,9
168,9
169,5
170,5
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,8
199,8
200,8
