ImageID,LabelID
101,8
102,3
103,1
104,1
105,1
106,1
107,1
108,3
109,6
110,7
111,9
112,8
113,5
114,5
115,8
116,8
117,8
118,8
119,8
120,5
121,8
122,3
123,3
124,5
125,3
126,6
127,3
128,3
129,3
130,3
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,5
162,9
163,5
164,9
165,5
166,9
167,5
168,5
169,5
170,5
171,6
172,8
173,8
174,6
175,8
176,7
177,1
178,8
179,1
180,6
181,9
182,1
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,9
191,1
192,2
193,5
194,5
195,5
196,5
197,2
198,1
199,2
200,2
