ImageID,LabelID
101,5
102,8
103,4
104,4
105,4
106,4
107,8
108,5
109,4
110,5
111,4
112,4
113,8
114,4
115,4
116,4
117,4
118,4
119,4
120,8
121,4
122,8
123,8
124,6
125,6
126,6
127,8
128,5
129,4
130,6
131,8
132,8
133,6
134,8
135,6
136,8
137,6
138,6
139,8
140,8
141,5
142,5
143,2
144,5
145,2
146,5
147,2
148,2
149,2
150,2
151,8
152,4
153,8
154,8
155,8
156,4
157,4
158,8
159,4
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,7
172,6
173,4
174,6
175,6
176,5
177,4
178,4
179,4
180,7
181,8
182,4
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,4
192,4
193,4
194,8
195,4
196,8
197,4
198,4
199,4
200,4
