ImageID,LabelID
101,3
102,1
103,1
104,1
105,1
106,1
107,1
108,6
109,1
110,1
111,2
112,1
113,2
114,1
115,1
116,1
117,1
118,4
119,4
120,1
121,1
122,1
123,5
124,1
125,1
126,1
127,1
128,3
129,3
130,1
131,1
132,8
133,1
134,1
135,8
136,8
137,1
138,1
139,1
140,8
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,5
152,3
153,5
154,3
155,5
156,3
157,3
158,5
159,3
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,6
172,6
173,1
174,7
175,7
176,7
177,2
178,1
179,2
180,6
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,2
192,2
193,3
194,3
195,3
196,3
197,2
198,2
199,2
200,2
